BisBasQ,BisBasResp,ExpEnd,ExpStart,StudyID,TimeEnd,TimeStart,Feedback,population,subject
bisbas-7,2,1.58E+12,1.58E+12,LWPCtufb:,2903263.955,2494783.8,fb,1,6
bisbas-8,1,1.58E+12,1.58E+12,LWPCtufb:,2903264,2494783.8,fb,1,6
bisbas-9,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.045,2494783.8,fb,1,6
bisbas-10,2,1.58E+12,1.58E+12,LWPCtufb:,2903264.1,2494783.8,fb,1,6
bisbas-11,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.15,2494783.8,fb,1,6
bisbas-12,2,1.58E+12,1.58E+12,LWPCtufb:,2903264.2,2494783.8,fb,1,6
bisbas-13,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.255,2494783.8,fb,1,6
bisbas-14,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.31,2494783.8,fb,1,6
bisbas-15,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.37,2494783.8,fb,1,6
bisbas-16,2,1.58E+12,1.58E+12,LWPCtufb:,2903264.435,2494783.8,fb,1,6
bisbas-17,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.555,2494783.8,fb,1,6
bisbas-18,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.625,2494783.8,fb,1,6
bisbas-19,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.695,2494783.8,fb,1,6
bisbas-20,2,1.58E+12,1.58E+12,LWPCtufb:,2903264.77,2494783.8,fb,1,6
bisbas-21,1,1.58E+12,1.58E+12,LWPCtufb:,2903264.845,2494783.8,fb,1,6
bisbas-22,2,1.58E+12,1.58E+12,LWPCtufb:,2903264.965,2494783.8,fb,1,6
bisbas-23,1,1.58E+12,1.58E+12,LWPCtufb:,2903265.05,2494783.8,fb,1,6
bisbas-24,1,1.58E+12,1.58E+12,LWPCtufb:,2903265.14,2494783.8,fb,1,6
bisbas-1,3,1.58E+12,1.58E+12,LWPCtufb:,2445181.535,2232334.43,fb,1,7
bisbas-2,2,1.58E+12,1.58E+12,LWPCtufb:,2445182.1,2232334.43,fb,1,7
bisbas-3,1,1.58E+12,1.58E+12,LWPCtufb:,2445182.155,2232334.43,fb,1,7
bisbas-4,1,1.58E+12,1.58E+12,LWPCtufb:,2445182.205,2232334.43,fb,1,7
bisbas-5,1,1.58E+12,1.58E+12,LWPCtufb:,2445182.305,2232334.43,fb,1,7
bisbas-6,2,1.58E+12,1.58E+12,LWPCtufb:,2445182.365,2232334.43,fb,1,7
bisbas-7,2,1.58E+12,1.58E+12,LWPCtufb:,2445182.42,2232334.43,fb,1,7
bisbas-8,3,1.58E+12,1.58E+12,LWPCtufb:,2445182.505,2232334.43,fb,1,7
bisbas-9,1,1.58E+12,1.58E+12,LWPCtufb:,2445182.58,2232334.43,fb,1,7
bisbas-10,2,1.58E+12,1.58E+12,LWPCtufb:,2445182.65,2232334.43,fb,1,7
bisbas-11,1,1.58E+12,1.58E+12,LWPCtufb:,2445182.725,2232334.43,fb,1,7
bisbas-12,2,1.58E+12,1.58E+12,LWPCtufb:,2445182.81,2232334.43,fb,1,7
bisbas-13,2,1.58E+12,1.58E+12,LWPCtufb:,2445182.895,2232334.43,fb,1,7
bisbas-14,1,1.58E+12,1.58E+12,LWPCtufb:,2445182.985,2232334.43,fb,1,7
bisbas-15,3,1.58E+12,1.58E+12,LWPCtufb:,2445183.08,2232334.43,fb,1,7
