data,Feedback,population,question,subject
F,fb,1,Gender,87
54,fb,1,Age,87
NHL,fb,1,Ethnicity,87
W,fb,1,Race,87
demos:Demographics:;,fb,1,TypeResp,88
M,fb,1,Gender,88
27,fb,1,Age,88
NHL,fb,1,Ethnicity,88
AA,fb,1,Race,88
demos:Demographics:;,fb,2,TypeResp,89
M,fb,2,Gender,89
19,fb,2,Age,89
NA,fb,2,Ethnicity,89
W,fb,2,Race,89
demos:Demographics:;,fb,2,TypeResp,90
F,fb,2,Gender,90
19,fb,2,Age,90
HL,fb,2,Ethnicity,90
W,fb,2,Race,90
demos:Demographics:;,fb,2,TypeResp,91
F,fb,2,Gender,91
18,fb,2,Age,91
NHL,fb,2,Ethnicity,91
M,fb,2,Race,91
demos:Demographics:;,fb,2,TypeResp,92
M,fb,2,Gender,92
19,fb,2,Age,92
NHL,fb,2,Ethnicity,92
AA,fb,2,Race,92
demos:Demographics:;,fb,2,TypeResp,93
F,fb,2,Gender,93
19,fb,2,Age,93
NA,fb,2,Ethnicity,93
W,fb,2,Race,93
demos:Demographics:;,fb,2,TypeResp,94
M,fb,2,Gender,94
21,fb,2,Age,94
NHL,fb,2,Ethnicity,94
AA,fb,2,Race,94
demos:Demographics:;,fb,2,TypeResp,95
F,fb,2,Gender,95
20,fb,2,Age,95
HL,fb,2,Ethnicity,95
W,fb,2,Race,95
demos:Demographics:;,fb,2,TypeResp,96
M,fb,2,Gender,96
19,fb,2,Age,96
NHL,fb,2,Ethnicity,96
A,fb,2,Race,96
demos:Demographics:;,fb,2,TypeResp,97
F,fb,2,Gender,97
20,fb,2,Age,97
NHL,fb,2,Ethnicity,97
A,fb,2,Race,97
demos:Demographics:;,fb,2,TypeResp,98
F,fb,2,Gender,98
21,fb,2,Age,98
NHL,fb,2,Ethnicity,98
A,fb,2,Race,98
demos:Demographics:;,fb,2,TypeResp,99
F,fb,2,Gender,99
19,fb,2,Age,99
NHL,fb,2,Ethnicity,99
A,fb,2,Race,99
demos:Demographics:;,fb,2,TypeResp,100
F,fb,2,Gender,100
18,fb,2,Age,100
HL,fb,2,Ethnicity,100
W,fb,2,Race,100
demos:Demographics:;,fb,2,TypeResp,101
F,fb,2,Gender,101
18,fb,2,Age,101
NHL,fb,2,Ethnicity,101
M,fb,2,Race,101
demos:Demographics:;,fb,2,TypeResp,102
F,fb,2,Gender,102
18,fb,2,Age,102
NHL,fb,2,Ethnicity,102
A,fb,2,Race,102
demos:Demographics:;,fb,2,TypeResp,103
F,fb,2,Gender,103
18,fb,2,Age,103
NHL,fb,2,Ethnicity,103
A,fb,2,Race,103
demos:Demographics:;,fb,2,TypeResp,104
M,fb,2,Gender,104
21,fb,2,Age,104
NHL,fb,2,Ethnicity,104
W,fb,2,Race,104
demos:Demographics:;,fb,2,TypeResp,105
F,fb,2,Gender,105
18,fb,2,Age,105
NHL,fb,2,Ethnicity,105
W,fb,2,Race,105
demos:Demographics:;,fb,2,TypeResp,106
F,fb,2,Gender,106
20,fb,2,Age,106
NHL,fb,2,Ethnicity,106
W,fb,2,Race,106
demos:Demographics:;,fb,2,TypeResp,107
F,fb,2,Gender,107
21,fb,2,Age,107
NHL,fb,2,Ethnicity,107
W,fb,2,Race,107
demos:Demographics:;,fb,2,TypeResp,108
M,fb,2,Gender,108
22,fb,2,Age,108
NHL,fb,2,Ethnicity,108
W,fb,2,Race,108
demos:Demographics:;,fb,2,TypeResp,109
F,fb,2,Gender,109
20,fb,2,Age,109
NHL,fb,2,Ethnicity,109
W,fb,2,Race,109
demos:Demographics:;,fb,2,TypeResp,110
M,fb,2,Gender,110
18,fb,2,Age,110
NHL,fb,2,Ethnicity,110
M,fb,2,Race,110
demos:Demographics:;,fb,2,TypeResp,111
F,fb,2,Gender,111
19,fb,2,Age,111
NHL,fb,2,Ethnicity,111
W,fb,2,Race,111
demos:Demographics:;,fb,2,TypeResp,112
M,fb,2,Gender,112
20,fb,2,Age,112
NHL,fb,2,Ethnicity,112
W,fb,2,Race,112
demos:Demographics:;,fb,2,TypeResp,113
F,fb,2,Gender,113
18,fb,2,Age,113
NHL,fb,2,Ethnicity,113
A,fb,2,Race,113
demos:Demographics:;,fb,2,TypeResp,114
F,fb,2,Gender,114
21,fb,2,Age,114
HL,fb,2,Ethnicity,114
W,fb,2,Race,114
demos:Demographics:;,fb,2,TypeResp,115
F,fb,2,Gender,115
18,fb,2,Age,115
NHL,fb,2,Ethnicity,115
W,fb,2,Race,115
demos:Demographics:;,fb,2,TypeResp,116
M,fb,2,Gender,116
20,fb,2,Age,116
NHL,fb,2,Ethnicity,116
M,fb,2,Race,116
demos:Demographics:;,fb,2,TypeResp,117
M,fb,2,Gender,117
20,fb,2,Age,117
HL,fb,2,Ethnicity,117
M,fb,2,Race,117
demos:Demographics:;,fb,2,TypeResp,118
M,fb,2,Gender,118
19,fb,2,Age,118
NHL,fb,2,Ethnicity,118
W,fb,2,Race,118
demos:Demographics:;,fb,2,TypeResp,119
F,fb,2,Gender,119
19,fb,2,Age,119
NHL,fb,2,Ethnicity,119
W,fb,2,Race,119
demos:Demographics:;,fb,2,TypeResp,120
F,fb,2,Gender,120
20,fb,2,Age,120
NHL,fb,2,Ethnicity,120
W,fb,2,Race,120
demos:Demographics:;,fb,2,TypeResp,121
F,fb,2,Gender,121
20,fb,2,Age,121
NHL,fb,2,Ethnicity,121
AI,fb,2,Race,121
demos:Demographics:;,fb,2,TypeResp,122
F,fb,2,Gender,122
19,fb,2,Age,122
NHL,fb,2,Ethnicity,122
A,fb,2,Race,122
demos:Demographics:;,fb,2,TypeResp,123
F,fb,2,Gender,123
19,fb,2,Age,123
NHL,fb,2,Ethnicity,123
W,fb,2,Race,123
demos:Demographics:;,fb,2,TypeResp,124
F,fb,2,Gender,124
19,fb,2,Age,124
HL,fb,2,Ethnicity,124
W,fb,2,Race,124
demos:Demographics:;,fb,2,TypeResp,125
F,fb,2,Gender,125
20,fb,2,Age,125
NHL,fb,2,Ethnicity,125
W,fb,2,Race,125
demos:Demographics:;,fb,2,TypeResp,126
F,fb,2,Gender,126
20,fb,2,Age,126
NHL,fb,2,Ethnicity,126
W,fb,2,Race,126
demos:Demographics:;,fb,2,TypeResp,127
M,fb,2,Gender,127
19,fb,2,Age,127
NHL,fb,2,Ethnicity,127
AA,fb,2,Race,127
demos:Demographics:;,fb,2,TypeResp,128
F,fb,2,Gender,128
